,ACC,Algorithm,F1score,F2score,FPR,MCC,model_index,parameters,FNR,FNR_Leak,FNR_Clog,balanced_ACC
13,0.7847401484865791,RF,0.7868557786940881,0.7272739642020878,0.09029598308668076,0.6009067592437721,14,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 5, 'bootstrap': False, 'max_depth': 5}",0.3075043834015196,0.22136196002140274,0.35035980736871764,0.8010998167559
15,0.7843441842756519,RF,0.7861946362343479,0.7261502782317684,0.08936575052854122,0.6005609806927332,16,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': False, 'max_depth': 5}",0.3088720046756283,0.2254672231792975,0.3506925958937587,0.8008811223979154
9,0.7855358842566151,RF,0.7886253581002987,0.7310033959279152,0.09490486257928119,0.6003533147963122,10,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 20, 'bootstrap': False, 'max_depth': 5}",0.30278199883109297,0.22032193750521922,0.34361361358786413,0.801156569294813
8,0.7859242337711784,RF,0.7895719261057681,0.7331024664690305,0.09767441860465116,0.6002511444796552,9,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 20, 'bootstrap': True, 'max_depth': 5}",0.30003506721215667,0.21891751557695835,0.34029582844490763,0.8011452570915961
91,0.7839558347610889,RF,0.7856911017654505,0.7255302008910784,0.08938689217758984,0.5999046632931454,92,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 2, 'bootstrap': False, 'max_depth': 5}",0.3095499707773232,0.22518014183958457,0.35151188771305053,0.8005315685225437
93,0.7839596421092707,RF,0.7858846678886711,0.7260446206037058,0.09027484143763215,0.599585655899498,94,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 5, 'bootstrap': False, 'max_depth': 5}",0.3088720046756283,0.22303308301605515,0.35136105815045626,0.8004265769433698
19,0.7843556063201979,RF,0.7866817881761976,0.7276831248985318,0.09211416490486257,0.5993856051144923,20,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 20, 'bootstrap': False, 'max_depth': 5}",0.3068264172998247,0.22908490374434645,0.34511967434472696,0.8005297088976566
17,0.7835712925947078,RF,0.7853908858033327,0.7254203735437129,0.09029598308668078,0.5988624815513893,18,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 15, 'bootstrap': False, 'max_depth': 5}",0.3095733489187609,0.2269324638210087,0.35061878815401426,0.8000653339972794
89,0.784747763182943,RF,0.7879179708123353,0.730311413821197,0.09587737843551797,0.5988282486597017,90,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 20, 'bootstrap': False, 'max_depth': 5}",0.30344827586206896,0.21860497844089177,0.3456759442111703,0.8003371728512065
0,0.7863240053302873,RF,0.7912464818191528,0.7376865285204124,0.10496828752642706,0.5982737469220903,1,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 2, 'bootstrap': True, 'max_depth': 5}",0.2939216832261835,0.21463973779918055,0.33312906219715616,0.8005550146236945
95,0.7835674852465258,RF,0.785838446893981,0.726486354619742,0.09213530655391121,0.5981346831534797,96,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': False, 'max_depth': 5}",0.30820572764465226,0.22303308301605515,0.3505411390763652,0.7998294829007183
152,0.7988387588044926,RF,0.8181958329244243,0.8006203178558111,0.18898520084566597,0.597523870750543,153,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 20}",0.21025131502045585,0.1481794181051147,0.2398012207171693,0.8003817420669391
154,0.7961126975061869,RF,0.8132512876321839,0.7890340026684716,0.17420718816067654,0.5957551752273448,155,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 20}",0.22586791350087668,0.16210214158046973,0.25687144835368647,0.7999624491692232
7,0.7831829430801447,RF,0.7863182021251635,0.7288607201584947,0.09765327695560254,0.5955780891622107,8,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 15, 'bootstrap': False, 'max_depth': 5}",0.3048275862068966,0.22020497844089174,0.346797262822503,0.7987595684187505
3,0.7831867504283268,RF,0.7864359481091736,0.7293235740269272,0.09858350951374208,0.595344847709742,4,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 5, 'bootstrap': False, 'max_depth': 5}",0.30416130917592055,0.22095791961736236,0.3456191776394059,0.798627590655169
11,0.7823948220064725,RF,0.7850486765378448,0.7266672070586325,0.09585623678646936,0.5949195886586134,12,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 2, 'bootstrap': False, 'max_depth': 5}",0.3075043834015196,0.22136196002140274,0.35071035528361116,0.7983196899060058
38,0.7890500666285932,RF,0.7985327243037258,0.7556339937850766,0.13090909090909092,0.5946276905551173,39,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 20, 'bootstrap': True, 'max_depth': 8}",0.27012273524254826,0.20274040792368964,0.30339559009183686,0.7994840869241804
108,0.7906148867313916,RF,0.801994807428827,0.7630023821267596,0.14004228329809726,0.5945265367062522,109,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 20, 'bootstrap': True, 'max_depth': 8}",0.26058445353594395,0.19441818570146743,0.2936107984635439,0.7996866315829796
130,0.7953207690843328,RF,0.8123623540740956,0.7878849014297935,0.17418604651162792,0.5940613752344224,131,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 2, 'bootstrap': True, 'max_depth': 10}",0.22723553477498537,0.16579006236281774,0.25677666714098424,0.7992892093566936
74,0.7945478774033884,RF,0.8116315052096026,0.7871666893306083,0.1750739957716702,0.5927498760052645,75,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 20}",0.22790181180596142,0.16388256813705732,0.2590497333664307,0.7985120962111842
118,0.788657909765848,RF,0.7986935765877128,0.7570156992146435,0.1345877378435518,0.5926457865986418,119,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 20, 'bootstrap': True, 'max_depth': 8}",0.2681005260081824,0.19441818570146743,0.3045245401811153,0.7986558680741327
36,0.788669331810394,RF,0.7989295652710439,0.757134803248053,0.13454545454545455,0.5926017790150264,37,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 8}",0.2680771478667447,0.20127112687793802,0.3019017499700898,0.7986886987939005
72,0.7960936607652771,RF,0.8153612480701103,0.7965936469648653,0.18894291754756876,0.5925506181569145,73,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 20}",0.2150087668030392,0.1529016403273369,0.24545058260519517,0.7980241578246963
87,0.7816219303255282,RF,0.7847965422889093,0.7274263701442534,0.09953488372093024,0.5925176233789801,88,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 15, 'bootstrap': False, 'max_depth': 5}",0.3061835184102864,0.22255791961736235,0.3477985136042415,0.7971407989343917
32,0.7902417666095565,RF,0.8026494327141143,0.7662708409712755,0.14739957716701904,0.5919918615555279,33,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 8}",0.2558036236119229,0.18827251850316867,0.2895163272051739,0.7983983996105292
132,0.7937445269369883,RF,0.8104755613810943,0.7845647192339316,0.17241014799154336,0.5919624606096121,133,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 10}",0.23133839859731153,0.1744450331230517,0.25886741482497905,0.7981257267055725
83,0.7812259661146012,RF,0.7842778736277671,0.7267601157508318,0.09953488372093024,0.5919444679529849,84,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 5, 'bootstrap': False, 'max_depth': 5}",0.30690824079485685,0.22120559763593822,0.3497641849783077,0.7967784377421064
144,0.7941481058442795,RF,0.8113974938817746,0.7878643354040638,0.17788583509513742,0.5917798753775009,145,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 20}",0.22656925774400938,0.16858206688392446,0.25439406772372497,0.7977724535804265
116,0.788669331810394,RF,0.7994876678576749,0.7590351320244291,0.13824524312896405,0.5917126321120069,117,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 8}",0.2653769725306839,0.19469596347924523,0.3002185149370095,0.7981888921701761
114,0.7898419950504474,RF,0.8018164553716929,0.7642612383581929,0.14471458773784357,0.5916976088814391,115,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 8}",0.25855055523085924,0.19009070032135045,0.29256412724796205,0.7983674285156485
24,0.7910222729868646,RF,0.8044205036760197,0.770381302392869,0.15300211416490486,0.5916098787947742,25,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 8}",0.2503915838690824,0.18798543716345573,0.28113091082904534,0.7983031509830063
150,0.7961050828098231,RF,0.8161808523155782,0.7998616449512314,0.1953911205073996,0.5913508630094299,151,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 2, 'bootstrap': True, 'max_depth': 20}",0.21023962594973702,0.14839161526468025,0.23972417993397221,0.7971846267714316
