,ACC,Algorithm,F1score,F2score,FPR,MCC,model_index,parameters,FNR,FNR_Leak,FNR_Clog,balanced_ACC
144,0.8345323741007195,RF,0.8508922888190882,0.8312608736736568,0.14403272939801287,0.6694900482259725,145,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 20}",0.1810740740740741,0.0,0.19807595850431783,0.8374465982639566
47,0.8330935251798561,RF,0.8481461994584393,0.8242808431008122,0.13444769140853302,0.6692550697974502,48,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 15, 'bootstrap': False, 'max_depth': 10}",0.1905679012345679,0.0,0.20950874524351776,0.8374922036784496
39,0.8279136690647482,RF,0.8383015701383272,0.7987151807008314,0.09892460549386323,0.6689813513192786,40,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 20, 'bootstrap': False, 'max_depth': 8}",0.22536419753086423,0.0,0.24658861088171163,0.8378555984876364
46,0.8325179856115108,RF,0.8471456620607976,0.8214827289183059,0.1303448275862069,0.6689486394810211,47,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 10}",0.1944814814814815,0.0,0.21156770701658825,0.8375868454661556
50,0.8328057553956834,RF,0.8478167500610609,0.8232696197915281,0.13305669199298656,0.6689045655675783,51,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 2, 'bootstrap': True, 'max_depth': 10}",0.19201234567901232,0.0,0.2049755520259371,0.8374654811640005
54,0.8319424460431655,RF,0.8461484097879938,0.8189220791522758,0.12693161893629457,0.6686159983474811,55,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 10}",0.19798765432098764,0.0,0.21059838903298458,0.8375403633713588
77,0.8336690647482016,RF,0.8500355553828781,0.829973995790357,0.14393921683226185,0.6682103502364478,78,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 15, 'bootstrap': False, 'max_depth': 20}",0.18258024691358024,0.0,0.19870096372963167,0.836740268127079
22,0.8302158273381295,RF,0.8429192018097281,0.8111473155480207,0.11675043834015197,0.6681269791497239,23,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 8}",0.2084320987654321,0.0,0.2303077803654178,0.8374087314472081
126,0.8316546762589928,RF,0.8458258637418116,0.8182138937020104,0.12625365283459966,0.6680546051140483,127,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 10}",0.1989691358024691,0.0,0.21557425776431546,0.8373886056814657
102,0.8299280575539568,RF,0.8424740637292369,0.8103440190787755,0.11601402688486266,0.6680276921332957,103,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 8}",0.2094074074074074,0.0,0.22923167511722156,0.8372892828538648
146,0.8328057553956835,RF,0.8481241696346113,0.8246803498037686,0.13583869082407948,0.6679662469081772,147,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 20}",0.1900061728395062,0.0,0.2055148816971995,0.837077568168207
