,Algorithm,model_index,parameters,FNR,FPR,MCC,ACC,F1score,F2score
0,KNN,1,"{'n_neighbors': 1, 'weights': 'uniform', 'Algorithm': 'auto'}","{'FNR': 0.29388888888888887, 'FNR_Leak': 0.0, 'FNR_Clog': 0.29388888888888887, 'balanced_ACC': 0.5923888888888889}",0.5213333333333333,0.1977913431917159,0.6158241758241758,0.6802586859305128,0.6936055645233885
1,KNN,2,"{'n_neighbors': 1, 'weights': 'uniform', 'Algorithm': 'ball_tree'}","{'FNR': 0.29388888888888887, 'FNR_Leak': 0.0, 'FNR_Clog': 0.29388888888888887, 'balanced_ACC': 0.5923888888888889}",0.5213333333333333,0.1977913431917159,0.6158241758241758,0.6802586859305128,0.6936055645233885
2,KNN,3,"{'n_neighbors': 1, 'weights': 'uniform', 'Algorithm': 'kd_tree'}","{'FNR': 0.29388888888888887, 'FNR_Leak': 0.0, 'FNR_Clog': 0.29388888888888887, 'balanced_ACC': 0.5923888888888889}",0.5213333333333333,0.1977913431917159,0.6158241758241758,0.6802586859305128,0.6936055645233885
3,KNN,4,"{'n_neighbors': 1, 'weights': 'uniform', 'Algorithm': 'brute'}","{'FNR': 0.29388888888888887, 'FNR_Leak': 0.0, 'FNR_Clog': 0.29388888888888887, 'balanced_ACC': 0.5923888888888889}",0.5213333333333333,0.1977913431917159,0.6158241758241758,0.6802586859305128,0.6936055645233885
4,KNN,5,"{'n_neighbors': 1, 'weights': 'distance', 'Algorithm': 'auto'}","{'FNR': 0.29388888888888887, 'FNR_Leak': 0.0, 'FNR_Clog': 0.29388888888888887, 'balanced_ACC': 0.5923888888888889}",0.5213333333333333,0.1977913431917159,0.6158241758241758,0.6802586859305128,0.6936055645233885
5,KNN,6,"{'n_neighbors': 1, 'weights': 'distance', 'Algorithm': 'ball_tree'}","{'FNR': 0.29388888888888887, 'FNR_Leak': 0.0, 'FNR_Clog': 0.29388888888888887, 'balanced_ACC': 0.5923888888888889}",0.5213333333333333,0.1977913431917159,0.6158241758241758,0.6802586859305128,0.6936055645233885
6,KNN,7,"{'n_neighbors': 1, 'weights': 'distance', 'Algorithm': 'kd_tree'}","{'FNR': 0.29388888888888887, 'FNR_Leak': 0.0, 'FNR_Clog': 0.29388888888888887, 'balanced_ACC': 0.5923888888888889}",0.5213333333333333,0.1977913431917159,0.6158241758241758,0.6802586859305128,0.6936055645233885
7,KNN,8,"{'n_neighbors': 1, 'weights': 'distance', 'Algorithm': 'brute'}","{'FNR': 0.29388888888888887, 'FNR_Leak': 0.0, 'FNR_Clog': 0.29388888888888887, 'balanced_ACC': 0.5923888888888889}",0.5213333333333333,0.1977913431917159,0.6158241758241758,0.6802586859305128,0.6936055645233885
8,KNN,9,"{'n_neighbors': 2, 'weights': 'uniform', 'Algorithm': 'auto'}","{'FNR': 0.4738888888888889, 'FNR_Leak': 0.0, 'FNR_Clog': 0.4738888888888889, 'balanced_ACC': 0.6050555555555557}",0.316,0.20946717830604428,0.5879120879120879,0.5911623474564651,0.548626603850206
9,KNN,10,"{'n_neighbors': 2, 'weights': 'uniform', 'Algorithm': 'ball_tree'}","{'FNR': 0.4738888888888889, 'FNR_Leak': 0.0, 'FNR_Clog': 0.4738888888888889, 'balanced_ACC': 0.6050555555555557}",0.316,0.20946717830604428,0.5879120879120879,0.5911623474564651,0.548626603850206
10,KNN,11,"{'n_neighbors': 2, 'weights': 'uniform', 'Algorithm': 'kd_tree'}","{'FNR': 0.4738888888888889, 'FNR_Leak': 0.0, 'FNR_Clog': 0.4738888888888889, 'balanced_ACC': 0.6050555555555557}",0.316,0.20946717830604428,0.5879120879120879,0.5911623474564651,0.548626603850206
11,KNN,12,"{'n_neighbors': 2, 'weights': 'uniform', 'Algorithm': 'brute'}","{'FNR': 0.4738888888888889, 'FNR_Leak': 0.0, 'FNR_Clog': 0.4738888888888889, 'balanced_ACC': 0.6050555555555557}",0.316,0.20946717830604428,0.5879120879120879,0.5911623474564651,0.548626603850206
12,KNN,13,"{'n_neighbors': 2, 'weights': 'distance', 'Algorithm': 'auto'}","{'FNR': 0.29388888888888887, 'FNR_Leak': 0.0, 'FNR_Clog': 0.29388888888888887, 'balanced_ACC': 0.5923888888888889}",0.5213333333333333,0.1977913431917159,0.6158241758241758,0.6802586859305128,0.6936055645233885
13,KNN,14,"{'n_neighbors': 2, 'weights': 'distance', 'Algorithm': 'ball_tree'}","{'FNR': 0.29388888888888887, 'FNR_Leak': 0.0, 'FNR_Clog': 0.29388888888888887, 'balanced_ACC': 0.5923888888888889}",0.5213333333333333,0.1977913431917159,0.6158241758241758,0.6802586859305128,0.6936055645233885
14,KNN,15,"{'n_neighbors': 2, 'weights': 'distance', 'Algorithm': 'kd_tree'}","{'FNR': 0.29388888888888887, 'FNR_Leak': 0.0, 'FNR_Clog': 0.29388888888888887, 'balanced_ACC': 0.5923888888888889}",0.5213333333333333,0.1977913431917159,0.6158241758241758,0.6802586859305128,0.6936055645233885
15,KNN,16,"{'n_neighbors': 2, 'weights': 'distance', 'Algorithm': 'brute'}","{'FNR': 0.29388888888888887, 'FNR_Leak': 0.0, 'FNR_Clog': 0.29388888888888887, 'balanced_ACC': 0.5923888888888889}",0.5213333333333333,0.1977913431917159,0.6158241758241758,0.6802586859305128,0.6936055645233885
