,meanci_1,Diff_median_of_plot,CWSI_minus_CWSI_of_row,Type,Y_binary
204,3.950595581676893,1.02002685546875,0.2779258949811194,Control,1.0
205,4.058242838476936,1.101212158203126,0.2551947123794262,Leak,
206,3.733696722269649,1.613415527343747,0.1790783034768647,Control,1.0
207,3.508197496294816,1.175968017578121,0.1700727454486278,Leak,
208,4.268476803287527,0.6694470214843804,0.03751008266014266,Control,1.0
209,5.42398489472388,-0.1716333007812452,-0.3081686031965292,Leak,
210,4.659534133378379,0.3690539550781224,0.2675400849344245,Control,1.0
211,3.595037415793943,1.424569091796869,0.2917140768312452,Leak,
212,5.738264885453273,-0.08054565429686988,0.07921271061081758,Control,1.0
213,3.70647927790764,1.452080078124993,0.1573031465351121,Leak,
214,4.567608006844146,0.3598364257812534,0.4028183419483495,Leak,
215,5.029138590630822,0.147297363281254,0.06756036018555442,Leak,
216,5.399329674994348,-0.1272167968749969,-0.1352290878326026,Control,1.0
217,4.465696152162089,0.3296887207031318,0.0360081100112058,Control,1.0
218,4.341628971477633,0.6106030273437426,-0.05933425333160514,Control,1.0
219,3.995618617546562,1.256234130859369,0.1352168197405555,Control,1.0
220,4.67822785053238,0.7888024902343744,0.118106052118573,Clog,0.0
221,3.92466374317884,0.5878015136718773,0.1323383929002797,Control,1.0
222,3.828418638086603,0.8625280761718841,0.2774659320096328,Control,1.0
223,4.13072585032468,0.8675280761718795,0.3400971097395724,Leak,
224,5.144819947224168,-1.246018066406258,-0.2185749912872055,Leak,
225,4.651721187466297,-0.5107531738281352,0.1008884876383325,Control,1.0
226,6.197740817450565,1.126855468750001,0.5634796082719793,Leak,
227,3.202197715632245,1.372697753906252,0.2506335478424084,Control,1.0
228,4.802017477448317,-0.1938708496093682,-0.1065240878799641,Clog,0.0
229,4.190372423943661,0.3918994140625003,-0.07249948625648839,Control,1.0
230,3.933383059259775,0.3408984375000017,0.1691879863586235,Leak,
231,4.08468695632677,1.458264160156247,0.4902155487445554,Control,1.0
232,4.029443863546174,-0.04041625976562813,0.1267333092027826,Control,1.0
233,6.18803216484789,-1.185654296875001,-0.3338518095860034,Clog,0.0
234,4.089598251480716,0.6026147460937565,0.2853459183862271,Leak,
235,4.01530025088465,0.1856457519531176,0.21789240667241,Leak,
236,6.1082118368235,1.126103515625005,0.4146104319826225,Clog,0.0
237,3.211213895504795,1.65674560546875,0.347546257221701,Leak,
238,3.303568803493334,1.444982910156256,0.2848497157497319,Control,1.0
239,5.114533817778675,1.378994140625004,0.1998099920675172,Clog,0.0
240,6.38330963618273,1.135349121093753,0.3063781824526125,Clog,0.0
241,4.363617102929432,0.5106774902343787,0.2937961972316445,Leak,
242,3.255169814687218,1.359422607421877,0.1122875556402108,Control,1.0
243,4.356669465215965,0.4512707519531247,0.2106301778170974,Control,1.0
244,5.359952865440103,-0.8807446289062497,-0.4023403621695821,Clog,0.0
245,4.005889104898564,0.6291369628906267,0.1694269449416771,Control,1.0
246,5.381091201346813,-1.259173583984378,-0.2410990410271193,Leak,
247,4.842757534891973,0.1268298339843739,0.07257823269448843,Control,1.0
248,2.904437187046547,2.437810058593747,0.4960902470744074,Leak,
249,3.044893251377818,1.371418457031254,0.1369814190201313,Leak,
250,3.505458253894179,1.244945068359385,-0.06975004707167515,Control,1.0
251,3.027200013269987,1.437259521484371,0.2548289616120308,Leak,
252,7.252934628977613,0.1454174804687511,0.03202225270386905,Control,1.0
253,3.173483936855778,1.864790039062498,0.3912340890945883,Leak,
254,7.021934170849541,0.06507080078124972,0.08883233799712653,Clog,0.0
255,4.38055829500205,0.5898083496093705,0.1995072378156114,Control,1.0
256,4.158837023033023,1.152677001953123,0.4574020346349185,Leak,
257,3.829023248704509,1.412532958984379,0.310604945365037,Control,1.0
258,4.751259884180918,0.341520996093756,0.02831181844438516,Control,1.0
259,3.85409729852341,2.473547363281249,0.3757324902587554,Leak,
260,6.50093007684692,0.9514916992187494,0.141573613901775,Leak,
261,6.027649184919717,-0.4187524414062551,0.01508906930221354,Control,1.0
262,3.436735569106087,1.068846435546881,-0.08436711556725401,Control,1.0
263,4.05344946601976,2.682053222656251,0.4517527069280088,Leak,
264,4.570272473711238,1.117224121093749,0.5032135839829219,Leak,
265,4.205596593649823,1.242216796874999,0.001023100512838826,Leak,
266,4.610142213573578,0.03784423828125227,-0.07933852043316178,Control,1.0
267,6.758284395724186,-2.143975830078126,-0.340652940194099,Clog,0.0
268,5.701290828271496,-1.280961914062495,-0.2544238454700194,Clog,0.0
269,4.732325407122715,0.160573730468748,0.3303508572449359,Leak,
270,4.666843168506212,0.01327758789062017,0.09648933540032523,Control,1.0
271,6.90611736286732,0.2841821289062523,0.0372516852196606,Clog,0.0
272,3.945910925089215,1.323111572265624,0.1116788925252964,Leak,
273,5.849329941591687,-2.208666992187503,-0.259020924337286,Control,1.0
274,4.258209308031546,-0.07292846679688125,0.2949618311984394,Control,1.0
275,5.303837486211648,0.9833361816406239,0.2490842150400143,Leak,
276,3.314743567072515,0.8230688476562449,0.3131729176663612,Leak,
277,6.722361119201693,0.5848339843749955,0.1294286891033046,Control,1.0
278,7.460809154687066,-2.276158447265622,-0.597700162799631,Clog,0.0
279,6.168081865440083,-0.6902172851562511,-0.284119903136009,Control,1.0
280,5.132992598578085,1.329731445312497,0.2229529637980255,Leak,
281,6.671419645584436,-1.469627685546875,0.03216558592506846,Clog,0.0
282,4.367013748827983,-0.1120581054687548,0.2105058124576422,Leak,
283,5.674688755483565,0.5646386718750023,0.0632552468359498,Control,1.0
