,Type,Plot,Site_Name,mean,min,prctile5,max,prctile95,std,MTD,median,skewness,kurtosis,IQR,MAD,meanci_1,meanci_2,Diff_median_of_plot,Diff_mean_of_plot,Diff_std_of_plot,Diff_median_of_row,Diff_mean_of_row,Diff_std_of_row,prctile33,mean_first_ring,mean_second_ring,mean_third_ring,mean_core,median_first_ring,median_second_ring,median_third_ring,median_core,CWSI,CWSI_minus_CWSI_of_row
1538,Control,A,Sde_David,4.5078718,1.87016449,2.25003433,12.75963745,9.99219666,2.379795706,10.88947296,3.60003815,1.448513661,4.414411983,2.639945984,1.838868928,4.34727936,4.66846424,-0.820163727,-1.042803811,-0.072487142,-1.030181885,-1.242067558,0.008452761,2.57067039,5.36144789,3.3661963,2.88360487,2.55139131,4.5002533,2.91000519,2.8200985,2.53986511,0.330727239,-0.227395748
1539,Control,A,Sde_David,4.37074096,2.12006531,2.39306221,13.28985367,9.70010109,2.229575199,11.16978836,3.57493935,1.839015179,6.083538943,2.080316544,1.63406848,4.21362579,4.52785614,-0.795064926,-0.905672971,0.077733364,-1.005083084,-1.104936718,0.158673268,2.69982578,5.00399764,3.22923682,2.78374933,2.46399193,4.53991089,3.22994766,2.7649456,2.46500168,0.366309149,-0.262977657
1540,Control,A,Sde_David,4.30572909,1.90012512,2.3900856,13.29967651,9.91131229,2.273272634,11.39955139,3.48002014,1.957559091,6.487226693,1.872538567,1.624343804,4.19525458,4.41620359,-0.700145721,-0.840661097,0.034035929,-0.910163879,-1.039924844,0.114975833,2.6636081,4.51677781,4.35783147,3.09666013,3.38539331,3.44991074,3.64990005,2.96009216,3.22493706,0.356331289,-0.252999797
1541,Control,A,Sde_David,4.09955915,1.56005058,2.09011612,13.30901489,9.56478271,2.354485362,11.74896431,3.26499901,1.794577401,5.915734322,2.229955673,1.728946879,3.99831607,4.20080222,-0.485124588,-0.634491158,-0.047176798,-0.695142746,-0.833754905,0.033763105,2.30955204,4.25485963,4.49255161,2.8766864,2.36780871,3.16996536,3.93998871,2.7001358,2.30994186,0.258789944,-0.155458453
1542,Control,A,Sde_David,3.78627582,1.09011993,1.97010384,13.378759,8.68030319,2.131963112,12.28863907,3.13083038,2.166541419,7.939398871,1.743258476,1.461709775,3.72227411,3.85027752,-0.350955963,-0.321207827,0.175345451,-0.560974121,-0.520471574,0.256285355,2.22699188,3.93327466,4.00168211,3.23512212,2.43919923,3.24025879,2.93505249,2.90994797,2.39004669,0.236044878,-0.132713386
1543,Control,A,Sde_David,4.22435385,1.08011589,1.93433838,13.22786865,8.95093765,2.143112352,12.14775276,3.62007866,1.766610933,6.470845379,2.05947876,1.539521495,4.11191514,4.33679257,-0.840204239,-0.759285862,0.164196211,-1.050222397,-0.958549609,0.245136115,2.48057066,4.66875325,3.77024034,3.11549694,3.18825167,4.00995216,3.40995178,2.95010719,3.15494118,0.305905044,-0.202573552
1544,Control,A,Sde_David,4.59739235,1.75006638,2.81010399,13.25016937,8.77993355,1.907558059,11.500103,3.92001495,1.872038001,6.866281124,1.855455399,1.388986429,4.51614559,4.67863911,-1.140140533,-1.13232436,0.399750504,-1.350158691,-1.331588107,0.480690408,3.12620813,4.41718814,4.84554251,4.06557422,3.60006454,3.66497955,4.30008469,3.77506599,3.61497269,0.483776161,-0.380444669
1546,Control,A,Sde_David,3.96325992,1.66012726,2.19449196,13.36135254,9.20741615,2.169328364,11.70122528,3.18995819,2.16073794,7.519741467,1.537434578,1.512291431,3.86063767,4.06588217,-0.410083771,-0.498191929,0.1379802,-0.620101929,-0.697455676,0.218920104,2.48161021,4.22530518,4.01363361,2.87654282,2.70326048,3.29994354,3.28998718,2.72501717,2.70998535,0.306191436,-0.202859944
1547,Control,A,Sde_David,4.25552177,2.08012161,2.34996338,13.24015198,9.22178955,2.214602499,11.16003036,3.46004448,1.930770561,6.571939686,1.999847412,1.589773983,4.09094408,4.42009946,-0.680170059,-0.79045378,0.092706064,-0.890188217,-0.989717527,0.173645968,2.60732336,4.66485909,3.050302,2.78075035,2.75322268,4.07000504,2.9700676,2.64999542,2.74998627,0.340825017,-0.237493525
1548,Control,A,Sde_David,4.02526253,1.26004562,2.08000469,13.37003098,9.37647896,2.214475554,12.10998535,3.30982361,1.973190286,6.713089727,1.739861488,1.553082004,3.95461699,4.09590806,-0.529949188,-0.560194537,0.092833009,-0.739967346,-0.759458284,0.173772913,2.38738049,4.1849199,4.31339612,3.26937636,2.92122778,3.45997009,3.24001465,3.10003815,2.94988022,0.280231441,-0.176899949
