,median,meanci_1,Diff_median_of_plot,Diff_mean_of_row,Type,Y_binary
146,3.659849549999997,4.166703779999999,-0.079975128,-0.12355153,Leak,1.0
589,2.820230869999996,3.315272199999995,-0.240356445,-0.182107415,Control,1.0
707,4.250109859999998,4.9660574,-0.370235443,-0.749457321,Control,1.0
576,4.049658199999996,4.250446689999997,-1.469783783,-1.043587415,Control,1.0
348,4.65016327,5.141467660000004,-1.139846802,-1.276989645,Clog,0.0
463,2.59979744,3.327293209999997,0.510519028,0.558043634,Control,1.0
325,4.67972031,5.137540119999997,-1.099845886,-0.943202438,Clog,0.0
186,4.400055689999999,5.017758840000003,-0.420181274,-0.390598506,Clog,0.0
123,3.305115129999997,3.749889039999999,-0.725240707,-0.567058076,Leak,1.0
651,3.619998930000001,4.090334230000003,-0.940124512,-0.837718233,Control,1.0
143,1.319949339999997,2.221463799999999,1.059925079,0.488014488,Leak,1.0
728,4.389958189999998,4.846005209999998,-0.410083771,-0.249505538,Control,1.0
197,4.0199192,4.517131799999998,-0.040044785,-0.165550415,Clog,0.0
279,4.290258789999996,4.752897529999998,-0.979942322,-1.045850742,Clog,0.0
293,2.760110470000001,3.491551530000002,0.019763947,0.090409225,Clog,0.0
400,4.329938509999998,4.781046100000005,-1.050064087,-0.785082131,Clog,0.0
122,2.360019680000001,2.947479950000002,0.319854736,0.269889505,Leak,1.0
183,2.570069889999999,3.050327469999999,0.209804535,0.125389851,Clog,0.0
202,2.670180890000005,3.382725900000004,0.109693527,0.032991951,Clog,0.0
438,4.400253679999999,5.003962569999999,-1.08993721,-1.078945296,Clog,0.0
246,3.180216219999998,3.765549110000002,-0.600341797,-0.64348392,Clog,0.0
415,4.370088199999998,4.960512470000005,-1.090213776,-0.980387319,Clog,0.0
678,3.024928670000001,3.696184209999998,-0.245054245,-0.47990342,Control,1.0
129,2.670202639999999,3.169998209999996,-0.090328217,0.014717292,Leak,1.0
402,3.490203860000001,4.311498059999998,-0.310329437,-0.434924359,Clog,0.0
605,2.980033490000004,3.78690658,-0.200159073,-0.532199721,Control,1.0
597,3.150022889999995,3.523043610000002,-0.570148468,-0.45377983,Control,1.0
692,3.264999010000004,3.998316070000001,-0.485124588,-0.833754905,Control,1.0
219,2.515021129999997,3.1522203,-0.035146713,-0.015489972,Clog,0.0
694,3.620078660000004,4.111915140000001,-0.840204239,-0.958549609,Control,1.0
584,2.849903489999996,3.448884100000001,-0.270029068,-0.235750382,Control,1.0
697,3.460044480000001,4.09094408,-0.680170059,-0.989717527,Control,1.0
744,3.710401919999995,4.433896349999998,-0.130527496,-0.27865222,Control,1.0
386,1.88996315,2.788438419999999,0.78991127,0.396602206,Clog,0.0
739,3.609892269999996,4.240356649999995,-0.030017853,-0.088970508,Control,1.0
509,3.849908070000001,4.588617869999997,0.029966354,-0.222397739,Control,1.0
267,2.999938960000001,3.683448460000001,0.410377502,0.099331843,Clog,0.0
630,3.049937820000004,3.66661663,-0.2700634,-0.277022967,Control,1.0
441,3.200182339999998,3.906495749999998,0.110134125,-0.001472285,Clog,0.0
496,3.460073850000001,3.955774069999997,-0.380199432,-0.284957411,Control,1.0
112,2.729877469999998,3.243933230000003,-0.050003052,-0.027635147,Leak,1.0
232,2.134901809999999,2.729808000000002,0.34497261,0.437569987,Clog,0.0
665,3.459924319999999,4.065075620000002,-0.680049896,-0.553824123,Control,1.0
373,3.160182949999999,3.85837918,0.019691467,0.750946101,Clog,0.0
233,2.429981989999998,3.137755780000003,0.549892426,0.113021973,Clog,0.0
606,2.974982830000002,3.508889360000005,-0.195108414,-0.24242847,Control,1.0
317,3.569824980000003,4.070932979999998,-0.589950562,0.012856022,Clog,0.0
410,3.295072939999997,3.897121779999999,0.284801483,0.239012499,Clog,0.0
683,3.050019840000004,3.608818939999999,-0.270145416,-0.399703586,Control,1.0
358,2.110028080000003,2.809279460000003,0.369846344,-0.209739743,Clog,0.0
258,1.799926759999998,2.389273609999996,0.879947662,0.460169544,Clog,0.0
282,2.430046079999997,3.177997550000001,0.980270386,0.225051458,Clog,0.0
376,2.149930570000002,2.82844841,0.629943848,0.34302581,Clog,0.0
384,2.320092390000003,2.850738580000002,0.559782028,0.133693163,Clog,0.0
224,2.639925380000001,3.265392769999998,-0.060050964,-0.153774968,Clog,0.0
724,4.329951480000002,4.945424489999997,-0.450077057,-0.560925018,Control,1.0
626,2.879972080000002,3.549820780000005,-0.100097656,-0.148365637,Control,1.0
472,2.860717009999998,3.342685499999998,0.249599457,0.508913653,Control,1.0
