,min,prctile5,prctile95,std,MTD,median,skewness,IQR,meanci_1,meanci_2,Diff_median_of_plot,Diff_mean_of_row,prctile33,median_first_ring,median_second_ring,median_third_ring,median_core,CWSI_minus_CWSI_of_row,Type,Y_binary
364,2.560148925781252,2.955884399414064,11.4228388671875,2.617860439204105,11.25701904296875,6.394086914062502,0.43298980958088,3.843291015624999,6.50007752355631,6.83396919882362,-2.73928344726562,-1.107207451973785,3.846466434954056,7.95302978515625,5.112126464843751,3.377736816406252,2.978857421875002,-0.1776264732364332,Clog,0.0
180,-0.7814819335937457,-0.04804736328124903,8.409112304687504,2.624461204429291,12.25834228515625,1.995864257812499,1.158201004571488,3.336633300781259,2.606016482719269,2.928045539977404,1.162058105468759,1.166839770031665,0.4005029296875335,3.154775390625005,1.083771972656251,0.5533813476562557,0.1335717773437537,0.2520462691881461,Control,1.0
119,0.4124877929687543,0.8421076660156217,3.659217285156252,0.8480020710687959,3.989655761718751,1.801319580078129,0.7039617940986016,1.090316162109374,1.876060166235852,2.027535510659142,0.1717175292968705,0.4401797175243871,1.107209121704095,2.196433105468756,1.608747558593755,1.327226562500002,1.142622070312498,0.1040745328703639,Leak,1.0
374,1.424240722656247,2.211611328124995,11.44597900390625,2.845879142265322,12.89267822265625,4.403900146484375,1.099387070721386,3.524219970703122,5.144746588060841,5.404985093431335,-0.03394775390625426,0.7124343022613928,2.711575547647243,5.90265625,3.75480834960937,2.785842285156249,2.037851562500002,0.214561391305173,Clog,0.0
219,0.5693237304687493,1.045081298828123,11.108,3.065467465357835,13.82638427734375,3.113718261718752,1.419169548573034,3.29982543945313,3.995618617546562,4.292925364178139,1.256234130859369,0.5367511118950787,1.626358235677095,4.516877441406251,2.281511230468752,1.459323730468746,1.019541015624998,0.1352168197405555,Control,1.0
139,-0.3592358398437483,0.1170122070312516,3.787329345703128,1.103701660244711,4.763593749999998,1.686571044921877,0.2985946872746992,1.633001708984374,1.70312557258989,1.821069408110667,0.2864660644531227,0.3454313976922379,0.5592611317152247,2.194190673828132,1.240466308593753,0.8933789062500068,0.5531579589843787,0.1380015188978335,Leak,1.0
148,-0.04260498046875227,0.5533027343750021,3.718075683593746,0.9338477649484308,4.553713378906252,1.785355224609376,0.4581439735118041,1.2003857421875,1.856924938592421,1.979520412139927,0.2876818847656182,0.5737548806057049,0.9582077843617682,2.056604003906244,1.531726074218746,1.225500488281241,1.124146728515626,0.1542476572885439,Leak,1.0
302,2.846564941406253,3.369656127929691,11.83616650390625,2.608903291769765,11.23183349609375,6.096970214843754,0.7651911341632196,3.654180908203124,6.414800188004779,6.701929403298838,-0.2982128906250026,-0.3451182053859583,3.943960730067847,7.530776367187503,4.769736328125003,3.73990966796875,3.431651611328125,-0.06238949538691907,Clog,0.0
36,-0.486257324218748,0.3286931152343797,7.766754882812513,2.260400041034552,11.02043212890625,2.503808593750001,0.9329141961086095,3.067548217773442,2.926477220067305,3.195032396969786,0.05411376953125568,-0.5096974517312063,0.891721978081577,3.167922363281257,2.172753906250001,1.705815429687497,0.8255529785156241,-0.05048803134389623,Control,1.0
286,3.276582031250001,4.412417968749999,13.652779296875,2.740201929040329,12.9133251953125,6.179398193359376,1.459936162937292,2.918413085937502,6.941527449304367,7.215280967752513,0.4581799316406219,0.1947762355783027,4.799654989486108,7.435629882812499,5.571918945312497,5.117115478515622,4.765501708984367,0.00736526729957987,Control,1.0
211,-0.10186767578125,0.2225369873046894,11.00526708984375,3.349119137998774,14.38958251953125,2.845383300781254,1.089051342731099,4.363649291992193,3.595037415793943,3.956851351590149,1.424569091796869,0.730725419428623,0.7016260495240552,4.365640869140623,1.440965576171873,0.4976062011718732,0.2191943359375017,0.2917140768312452,Leak,1.0
225,0.9847045898437514,1.772569580078123,9.872840576171871,2.53371615852857,11.41613525390625,4.026110839843756,0.7878463757077703,3.739870605468745,4.651721187466297,4.946194108586386,-0.5107531738281352,-0.08452805160199262,2.36181914633892,6.125455322265626,3.376191406249998,2.510009765625004,1.876319580078121,0.1008884876383325,Control,1.0
327,1.105981445312501,1.632715087890627,11.18676586914063,2.960015215057894,12.85982421875,3.620363769531249,1.254562873353656,3.430067749023436,4.432815504245905,4.731750061344851,2.178393554687503,1.459107631238304,2.046592022386395,4.895811767578127,2.932678222656254,2.06953857421875,1.650516357421875,0.4329297985627414,Leak,1.0
