ID,Label,RTK_Num,Plot,row,Site_Name,cluster_number,Tree_num,Longitude,Latitude,mean,min,prctile5,max,prctile95,std,Std_plot,MTD,median,skewness,kurtosis,IQR,MAD,Meanci_1,Meanci_2,centroidY,centroidX,Diff_median_of_plot,Diff_mean_of_plot,Diff_std_of_plot,Diff_median_of_row,Diff_mean_of_row,Diff_std_of_row,AirTemp,mean_prctile33,mean_First_ring,mean_second_ring,mean_three_ring,mean_core,median_First_ring,median_second_ring,median_three_ring,median_core,CWSI,CWSI_minus_CWSI_of_row
3639,,,A,64,Sde_David,3308,60,172068.7567,608533.2892,33.8753557,31.64018059,32.20004959,43.70904922,39.68890533,2.329605622,2.307308563,12.06886864,32.95052338,2.251875316,7.554992272,1.270847321,1.600410339,33.79288983,33.95782157,2207.791721,4175.188722,0.229351044,-0.010287711,-0.022297059,0.409734726,0.236173146,-0.133745982,30.7,32.42289111,33.92395541,33.80126862,32.76328088,32.42550589,32.99496078,32.9199028,32.7199707,32.40507317,0.166088675,0.057659218
3640,,,A,64,Sde_David,3309,61,172068.2281,608540.5096,35.00487237,32.40007019,32.99122925,43.75885391,39.27136383,1.888563684,2.307308563,11.35878372,34.5099411,1.866020231,7.150412866,1.780115128,1.338040796,34.94490137,35.06484336,2113.76469,4168.304565,-1.330066681,-1.139804376,0.418744879,-1.149682999,-0.893343519,0.307295956,30.7,33.45101155,34.72575389,35.54123284,34.88798343,34.48656337,34.3099308,35.00524139,35.06979752,34.26985168,0.42770991,-0.203962018
3641,,,A,65,Sde_David,3323,14,172076.5076,608332.4409,34.19376344,32.25011444,32.50001373,43.75153351,38.70056133,1.95892102,2.307308563,11.50141907,33.61010742,2.176102026,8.017902223,1.569337845,1.342680779,34.10610874,34.28141813,4823.331078,4276.123894,-0.430233002,-0.328695445,0.348387543,-0.210174561,-0.10117114,0.205736911,30.6,32.75565016,34.25401579,34.24266683,33.28890136,32.77446839,33.70988846,33.74984741,33.28979492,32.77003098,0.257312096,-0.020185868
3642,,,A,65,Sde_David,3324,15,172076.2631,608336.9304,34.33189287,32.18017578,32.69995842,43.62977219,38.64497242,1.896664107,2.307308563,11.44959641,33.73995972,2.339563895,8.97951632,1.442275047,1.285273124,34.243747,34.42003874,4764.866367,4272.941044,-0.560085297,-0.466824877,0.410644457,-0.340026855,-0.239300572,0.267993824,30.6,33.00381995,34.7556131,33.80802562,33.5709877,33.52872038,33.79994011,33.49975777,33.50000381,33.54005432,0.322111685,-0.084985457
3643,,,A,65,Sde_David,3325,16,172075.9592,608342.0461,34.40278214,32.20017242,32.60992336,43.77091217,39.73622608,2.135090986,2.307308563,11.57073975,33.65036392,2.263502279,7.953790511,1.317830086,1.445170935,34.32470418,34.48086011,4698.247304,4268.982609,-0.470489502,-0.537714154,0.172217578,-0.250431061,-0.310189849,0.029566945,30.6,32.98494214,34.60822654,34.43506401,33.54958202,33.16778476,33.66494751,33.72005653,33.57512665,33.26015091,0.317182502,-0.080056273
3644,,,A,65,Sde_David,3326,17,172075.528,608347.8785,34.2757763,31.87048721,32.44015331,43.76098633,39.33838062,2.147765324,2.307308563,11.89049911,33.51029968,1.983096154,6.771878593,1.747148514,1.528575602,34.18595869,34.36559392,4622.295589,4263.367894,-0.330425262,-0.410708311,0.159543239,-0.110366821,-0.183184006,0.016892607,30.6,32.71145655,34.50575928,34.28331863,33.08054707,32.9609404,33.71999359,33.65013695,32.95005226,32.96999359,0.245772707,-0.008646478
3645,,,A,65,Sde_David,3327,18,172075.3345,608352.6296,34.03248188,32.09008408,32.35836716,43.66302872,39.513937,2.115080631,2.307308563,11.57294464,33.27998734,2.20342042,7.585479189,1.400071144,1.458502824,33.93379612,34.13116765,4560.424448,4260.847199,-0.100112915,-0.167413894,0.192227932,0.119945526,0.060110411,0.0495773,30.6,32.61163226,34.3084475,33.69195933,33.03592101,33.03213658,33.4299202,33.11145401,33.04989624,33.0499649,0.219707597,0.017418631
3646,,,A,65,Sde_David,3328,19,172074.9031,608359.003,34.09208003,31.81009483,32.40013332,43.77223969,38.98277283,2.047327831,2.307308563,11.96214485,33.36998749,2.132531402,7.570731874,1.56977272,1.432421645,34.02334964,34.16081041,4477.426854,4255.229845,-0.190113068,-0.227012035,0.259980733,0.029945374,0.00051227,0.1173301,30.6,32.64967449,33.90831016,34.40220968,33.98192025,33.46422604,33.19501114,33.52031136,33.28989029,33.46998787,0.229640799,0.007485429
3647,,,A,65,Sde_David,3329,20,172074.6088,608364.7777,33.93838706,32.02010345,32.36993694,43.73618698,39.20353413,2.165671126,2.307308563,11.71608353,33.04003143,2.378771915,8.590226046,1.519938469,1.470419121,33.83017374,34.04660039,4402.226476,4251.397794,0.139842987,-0.073319072,0.141637438,0.359901428,0.154205233,-0.001013195,30.6,32.55561366,34.3817003,33.21580505,32.94778139,32.86749902,33.24995804,32.98983383,32.80994606,32.85995293,0.205080587,0.032045641
3648,,,A,65,Sde_David,3330,21,172074.3759,608367.7672,33.98342472,32.12031937,32.38556557,43.76148987,38.60533104,2.047933637,2.307308563,11.6411705,33.37001419,2.512629175,9.58873309,1.324735641,1.336093621,33.86446978,34.10237966,4363.296231,4248.364592,-0.190139771,-0.118356729,0.259374927,0.029918671,0.109167576,0.116724294,30.6,32.63265172,34.34558704,33.14352724,32.98418523,33.00995188,33.68002701,33.09521675,32.97987747,32.95996094,0.225195985,0.011930243
